werkorder_id,datum,tag,equipment_type,systeem,locatie,werkorder_type,prioriteit,faalmodus,beschrijving,responstijd_uur,reparatietijd_uur,stilstandtijd_uur,materiaalkosten_EUR,arbeidskosten_EUR,totaalkosten_EUR,terugkerend
WO-00000,2024-12-12,EXP-973,expansievat,piping,Unit_100,predictief,kritiek,storing,"Tijdens ronde geconstateerd: storing bij EXP-973. Gekalibreerd volgens SOP-813, resultaten binnen spec.",2.5,0.8,0.2,108.0,43.0,151.0,0
WO-00001,2024-04-04,TRA-341,transportband,mechanisch,Utiliteiten,verbetering,medium,lekkage,"Melding ontvangen: transportband TRA-341 functioneert niet correct. Vervangen door nieuw onderdeel, getest en vrijgegeven.",17.0,1.0,0.3,133.0,69.0,202.0,1
WO-00002,2025-10-25,ANA-718,analyzer,instrumentatie,Unit_400,correctief,laag,slijtage,"Melding ontvangen: analyzer ANA-718 functioneert niet correct. Vervangen door nieuw onderdeel, getest en vrijgegeven.",26.0,2.6,2.1,194.0,193.0,388.0,1
WO-00003,2024-03-26,APP-219,appendage,piping,Unit_100,preventief,hoog,veroudering,Tijdens ronde geconstateerd: veroudering bij APP-219. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 27.595568443349123 bar.,1.0,5.6,1.7,375.0,395.0,769.0,0
WO-00004,2024-03-22,VEN-276,ventilator,mechanisch,Utiliteiten,preventief,hoog,storing,"Tijdens ronde geconstateerd: storing bij VEN-276. Vervangen door nieuw onderdeel, getest en vrijgegeven.",12.4,3.6,1.1,282.0,279.0,561.0,0
WO-00005,2025-08-31,EXP-146,expansievat,piping,Unit_300,correctief,medium,storing,Alarming op DCS voor EXP-146: storing gedetecteerd. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 36.83962367231922 bar.,9.2,0.5,0.5,286.0,30.0,317.0,0
WO-00006,2024-12-24,TRA-639,transformator,elektrisch,Unit_400,predictief,medium,defect,Melding ontvangen: transformator TRA-639 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 38.1944772378069 bar.,2.4,2.4,0.7,197.0,191.0,388.0,1
WO-00007,2024-11-22,PLC-612,PLC,elektrisch,Unit_400,predictief,hoog,defect,"Tijdens ronde geconstateerd: defect bij PLC-612. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",6.4,2.1,0.6,59.0,160.0,219.0,0
WO-00008,2025-08-24,FRE-693,frequentieregelaar,elektrisch,Utiliteiten,correctief,medium,slijtage,"Alarming op DCS voor FRE-693: slijtage gedetecteerd. Gekalibreerd volgens SOP-902, resultaten binnen spec.",1.3,10.5,10.3,500.0,674.0,1174.0,0
WO-00009,2025-05-02,SEN-949,sensor,elektrisch,Unit_200,preventief,laag,drift,Tijdens ronde geconstateerd: drift bij SEN-949. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,55.0,14.4,4.3,94.0,990.0,1084.0,0
